Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2003 [YR2003],2006 [YR2006],2009 [YR2009],2012 [YR2012],2015 [YR2015],2018 [YR2018]
Afghanistan,AFG,"School life expectancy, pre-primary, female (years)",UIS.SLE.02.F,..,0.02704,..,..,..,..,..
Afghanistan,AFG,"School life expectancy, pre-primary, male (years)",UIS.SLE.02.M,..,0.0344,..,..,..,..,..
Afghanistan,AFG,"Repetition rate in lower secondary general education (all grades), female (%)",UIS.REPR.2.GPV.F,..,..,..,..,..,4.7566,..
Afghanistan,AFG,"Repetition rate in lower secondary general education (all grades), male (%)",UIS.REPR.2.GPV.M,..,..,..,..,..,5.61242,..
Afghanistan,AFG,"Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, adjusted gender parity index (GPIA)",UIS.MATH.PRIMARY.GPIA,..,..,..,..,..,..,..
Afghanistan,AFG,"Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, adjusted wealth parity index (WPIA)",UIS.MATH.PRIMARY.WPIA,..,..,..,..,..,..,..
Afghanistan,AFG,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, female (%)",UIS.MATH.PRIMARY.F,..,..,..,..,..,..,..
Afghanistan,AFG,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, male (%)",UIS.MATH.PRIMARY.M,..,..,..,..,..,..,..
Afghanistan,AFG,Pupil-qualified teacher ratio in pre-primary education (headcount basis),UIS.PTRHC.02.QUALIFIED,..,..,..,..,..,..,..
Afghanistan,AFG,Pupil-qualified teacher ratio in primary education (headcount basis),UIS.PTRHC.1.QUALIFIED,..,..,..,..,..,..,61.70772
Afghanistan,AFG,"Government expenditure on pre-primary education, constant PPP$ (millions)",UIS.X.PPPCONST.02.FSGOV,..,..,..,..,0,0,..
Afghanistan,AFG,"Percentage of students experiencing bullying in the last 12 months, male (%)",UIS.PER.11T15.BULLIED.M,..,..,..,..,..,..,..
Afghanistan,AFG,"Percentage of students experiencing bullying in the last 12 months, female (%)",UIS.PER.11T15.BULLIED.F,..,..,..,..,..,..,..
Afghanistan,AFG,Proportion of primary schools with access to adapted infrastructure and materials for students with disabilities (%),UIS.SCHBSP.1.WINFSTUDIS,..,..,..,..,..,..,..
Afghanistan,AFG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, adjusted gender parity index (GPIA)",UIS.ICTSKILLPROGLANG.GPIA,..,..,..,..,..,..,..
Albania,ALB,"School life expectancy, pre-primary, female (years)",UIS.SLE.02.F,..,1.48487,1.60169,1.83968,2.35047,2.63202,2.45112
Albania,ALB,"School life expectancy, pre-primary, male (years)",UIS.SLE.02.M,..,1.39315,1.57726,1.80836,2.25186,2.54687,2.42554
Albania,ALB,"Repetition rate in lower secondary general education (all grades), female (%)",UIS.REPR.2.GPV.F,5.94788,..,1.51971,1.05466,0.74025,0.81767,0.56201
