Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2003 [YR2003],2006 [YR2006],2009 [YR2009],2012 [YR2012],2015 [YR2015],2018 [YR2018]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,7.485,7.148,6.722,6.18,5.562,4.976,4.473
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2.157,1.897,1.704,1.652,1.684,1.677,1.617
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2.514,2.405,2.569,2.799,2.952,3.043,3.023
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,American Samoa,ASM,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Andorra,AND,..,..,1.24,1.19,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,6.639,6.533,6.419,6.26,6.039,5.774,5.519
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2.2,2.14,2.048,1.993,1.993,2.003,1.994
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2.542,2.461,2.397,2.355,2.33,2.301,2.261
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Armenia,ARM,1.648,1.645,1.69,1.719,1.725,1.738,1.755
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Aruba,ABW,1.872,1.803,1.765,1.761,1.795,1.854,1.896
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Australia,AUS,1.756,1.748,1.908,1.971,1.92,1.814,1.74
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Austria,AUT,1.36,1.38,1.41,1.39,1.44,1.49,1.47
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Azerbaijan,AZE,2,1.9,1.97,1.82,2,1.94,1.73
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Bahamas, The",BHS,2.073,1.889,1.869,1.877,1.828,1.782,1.752
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bahrain,BHR,2.795,2.59,2.363,2.197,2.118,2.056,1.987
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bangladesh,BGD,3.169,2.876,2.604,2.382,2.228,2.12,2.036
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Barbados,BRB,1.775,1.797,1.775,1.711,1.645,1.614,1.619
