Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2003 [YR2003],2006 [YR2006],2009 [YR2009],2012 [YR2012],2015 [YR2015],2018 [YR2018]
Afghanistan,AFG,Voice and Accountability: Percentile Rank,VA.PER.RNK,0.995024859905243,14.4278602600098,17.7884616851807,9.47867298126221,14.0845069885254,18.7192115783691,20.2898559570313
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,0,11.3513517379761,3.90243911743164,3.34928226470947,5.68720388412476,7.21153831481934,7.692307472229
Albania,ALB,Voice and Accountability: Percentile Rank,VA.PER.RNK,41.2935333251953,50.2487564086914,49.038459777832,54.028434753418,50.7042236328125,52.709358215332,52.6570053100586
Albania,ALB,Government Effectiveness: Percentile Rank,GE.PER.RNK,19.6721305847168,34.5945930480957,33.6585350036621,48.8038291931152,44.5497627258301,55.288459777832,56.730770111084
Algeria,DZA,Voice and Accountability: Percentile Rank,VA.PER.RNK,14.4278602600098,18.9054718017578,22.5961532592773,17.5355453491211,22.5352115631104,24.630542755127,21.2560386657715
Algeria,DZA,Government Effectiveness: Percentile Rank,GE.PER.RNK,15.8469944000244,30.2702693939209,40,37.7990417480469,40.7582931518555,38.9423065185547,36.538459777832
American Samoa,ASM,Voice and Accountability: Percentile Rank,VA.PER.RNK,..,..,65.3846130371094,77.2511825561523,80.7511749267578,..,95.1690826416016
American Samoa,ASM,Government Effectiveness: Percentile Rank,GE.PER.RNK,..,..,61.9512176513672,68.4210510253906,67.7725143432617,70.1923065185547,71.1538467407227
Andorra,AND,Voice and Accountability: Percentile Rank,VA.PER.RNK,97.0149230957031,94.0298538208008,92.3076934814453,92.4170608520508,93.8967132568359,88.1773376464844,82.125602722168
Andorra,AND,Government Effectiveness: Percentile Rank,GE.PER.RNK,87.978141784668,88.1081085205078,89.7560958862305,91.8660278320313,91.4691925048828,96.1538467407227,98.5576934814453
Angola,AGO,Voice and Accountability: Percentile Rank,VA.PER.RNK,8.95522403717041,10.945273399353,11.5384616851807,14.6919431686401,15.962441444397,15.2709360122681,22.7053146362305
Angola,AGO,Government Effectiveness: Percentile Rank,GE.PER.RNK,12.021858215332,11.8918914794922,5.36585378646851,19.1387557983398,17.0616111755371,18.75,15.865385055542
